image,category,model,dice,iou,hd95,cldice,precision,recall,specificity,accuracy
17_A,AMD,proposed,0.8397,0.7237,13.60,0.8322,0.9175,0.7741,0.9935,0.9747
17_A,AMD,pruned,0.9307,0.8705,1.00,0.9448,0.9630,0.9006,0.9968,0.9885
180_N,Normal,benchmark,0.7856,0.6469,17.46,0.7885,0.9618,0.6639,0.9977,0.9715
180_N,Normal,proposed,0.8760,0.7794,3.61,0.9035,0.8585,0.8942,0.9874,0.9801
180_N,Normal,pruned,0.9311,0.8710,1.00,0.9418,0.9458,0.9168,0.9955,0.9893
181_N,Normal,benchmark,0.7091,0.5493,28.86,0.7366,0.9895,0.5525,0.9995,0.9646
181_N,Normal,proposed,0.8467,0.7342,12.08,0.8560,0.9080,0.7932,0.9932,0.9776
181_N,Normal,pruned,0.9409,0.8883,1.00,0.9614,0.9386,0.9431,0.9948,0.9907
182_N,Normal,benchmark,0.8014,0.6686,12.04,0.8223,0.9737,0.6810,0.9982,0.9699
182_N,Normal,proposed,0.8890,0.8001,5.10,0.8973,0.9099,0.8690,0.9916,0.9807
182_N,Normal,pruned,0.9362,0.8801,1.00,0.9517,0.9580,0.9154,0.9961,0.9889
183_N,Normal,benchmark,0.7081,0.5481,35.01,0.6992,0.9851,0.5526,0.9993,0.9643
183_N,Normal,proposed,0.8249,0.7019,24.52,0.7908,0.9270,0.7430,0.9950,0.9753
183_N,Normal,pruned,0.9215,0.8544,1.41,0.9249,0.9564,0.8890,0.9966,0.9881
184_N,Normal,benchmark,0.7809,0.6405,14.32,0.8013,0.9801,0.6490,0.9987,0.9683
184_N,Normal,proposed,0.8791,0.7843,6.00,0.8867,0.9230,0.8392,0.9933,0.9799
184_N,Normal,pruned,0.9279,0.8654,1.00,0.9511,0.9618,0.8962,0.9966,0.9879
185_N,Normal,benchmark,0.6631,0.4960,33.62,0.6466,0.9064,0.5228,0.9948,0.9537
185_N,Normal,proposed,0.8087,0.6789,12.08,0.8179,0.8073,0.8102,0.9815,0.9666
185_N,Normal,pruned,0.8818,0.7885,4.24,0.8905,0.8871,0.8765,0.9893,0.9795
186_N,Normal,benchmark,0.7200,0.5625,26.25,0.6793,0.9274,0.5884,0.9956,0.9603
186_N,Normal,proposed,0.8066,0.6759,13.89,0.8019,0.8086,0.8047,0.9819,0.9665
186_N,Normal,pruned,0.8786,0.7836,5.00,0.8831,0.8934,0.8644,0.9902,0.9793
187_N,Normal,benchmark,0.7697,0.6256,14.56,0.7896,0.9081,0.6679,0.9937,0.9660
187_N,Normal,proposed,0.8412,0.7259,5.00,0.8798,0.7883,0.9016,0.9775,0.9710
187_N,Normal,pruned,0.9023,0.8219,1.41,0.9213,0.8863,0.9188,0.9890,0.9831
188_N,Normal,benchmark,0.7011,0.5398,23.19,0.6979,0.9146,0.5685,0.9945,0.9549
188_N,Normal,proposed,0.8050,0.6736,8.54,0.8208,0.7985,0.8116,0.9790,0.9634
188_N,Normal,pruned,0.8698,0.7696,5.00,0.8769,0.9116,0.8316,0.9917,0.9768
189_N,Normal,benchmark,0.7607,0.6139,16.12,0.7665,0.9476,0.6354,0.9966,0.9646
189_N,Normal,proposed,0.8418,0.7269,7.07,0.8650,0.8346,0.8492,0.9836,0.9717
189_N,Normal,pruned,0.8940,0.8084,3.61,0.9023,0.9289,0.8616,0.9936,0.9819
18_A,AMD,benchmark,0.0515,0.0264,235.78,0.0816,0.8599,0.0265,0.9998,0.9568
18_A,AMD,proposed,0.2095,0.1170,104.29,0.2309,0.8107,0.1203,0.9987,0.9599
18_A,AMD,pruned,0.8198,0.6947,15.00,0.8162,0.9327,0.7313,0.9976,0.9858
190_N,Normal,benchmark,0.7583,0.6107,22.25,0.7656,0.9575,0.6277,0.9973,0.9651
190_N,Normal,proposed,0.8431,0.7287,11.05,0.8534,0.8517,0.8346,0.9861,0.9729
190_N,Normal,pruned,0.9038,0.8245,2.83,0.9147,0.9207,0.8875,0.9927,0.9835
191_N,Normal,benchmark,0.6443,0.4753,26.25,0.6332,0.9236,0.4948,0.9963,0.9544
191_N,Normal,proposed,0.7889,0.6515,14.14,0.7775,0.8335,0.7489,0.9864,0.9665
191_N,Normal,pruned,0.8633,0.7595,9.00,0.8598,0.9149,0.8172,0.9931,0.9784
192_N,Normal,benchmark,0.6487,0.4800,19.92,0.6518,0.9330,0.4971,0.9967,0.9546
192_N,Normal,proposed,0.7878,0.6499,12.53,0.7928,0.7911,0.7845,0.9809,0.9643
192_N,Normal,pruned,0.8656,0.7630,7.21,0.8661,0.9115,0.8241,0.9926,0.9784
193_N,Normal,benchmark,0.8148,0.6874,13.89,0.8011,0.9450,0.7161,0.9958,0.9705
193_N,Normal,proposed,0.8756,0.7787,6.32,0.8845,0.8629,0.8886,0.9859,0.9771
193_N,Normal,pruned,0.9301,0.8694,1.00,0.9436,0.9117,0.9493,0.9908,0.9871
194_N,Normal,benchmark,0.7927,0.6566,13.34,0.7870,0.9560,0.6770,0.9969,0.9678
194_N,Normal,proposed,0.8672,0.7656,6.32,0.8850,0.8526,0.8824,0.9847,0.9754
194_N,Normal,pruned,0.9247,0.8599,1.00,0.9292,0.9210,0.9283,0.9920,0.9862
195_N,Normal,benchmark,0.7723,0.6291,15.26,0.7804,0.9349,0.6579,0.9954,0.9648
195_N,Normal,proposed,0.8616,0.7568,7.07,0.8830,0.8588,0.8643,0.9858,0.9748
195_N,Normal,pruned,0.9222,0.8556,1.00,0.9432,0.9070,0.9379,0.9904,0.9857
196_N,Normal,benchmark,0.6548,0.4868,24.76,0.7127,0.9839,0.4907,0.9993,0.9570
196_N,Normal,proposed,0.8255,0.7029,12.73,0.8516,0.8926,0.7678,0.9916,0.9730
196_N,Normal,pruned,0.9261,0.8623,1.00,0.9496,0.9102,0.9424,0.9916,0.9875
197_N,Normal,benchmark,0.7179,0.5599,19.42,0.7389,0.9381,0.5814,0.9964,0.9609
197_N,Normal,proposed,0.8260,0.7035,8.49,0.8635,0.8206,0.8315,0.9830,0.9700
197_N,Normal,pruned,0.8947,0.8095,2.00,0.9217,0.8769,0.9132,0.9880,0.9816
198_N,Normal,benchmark,0.8246,0.7016,9.49,0.8345,0.9418,0.7334,0.9957,0.9728
198_N,Normal,proposed,0.8839,0.7919,2.00,0.9171,0.8521,0.9180,0.9848,0.9790
198_N,Normal,pruned,0.9346,0.8773,1.00,0.9606,0.9117,0.9587,0.9911,0.9883
199_N,Normal,benchmark,0.7919,0.6554,16.40,0.7815,0.9418,0.6831,0.9958,0.9674
199_N,Normal,proposed,0.8408,0.7253,9.49,0.8601,0.7997,0.8863,0.9778,0.9695
199_N,Normal,pruned,0.9072,0.8302,2.00,0.9195,0.8955,0.9193,0.9893,0.9829
19_A,AMD,benchmark,0.6724,0.5065,43.97,0.6800,0.9813,0.5114,0.9993,0.9688
19_A,AMD,proposed,0.8090,0.6793,18.36,0.8026,0.9084,0.7292,0.9951,0.9784
19_A,AMD,pruned,0.9001,0.8183,5.39,0.8970,0.9269,0.8748,0.9954,0.9878
1_A,AMD,benchmark,0.7615,0.6149,14.87,0.7606,0.9479,0.6364,0.9962,0.9608
1_A,AMD,proposed,0.8715,0.7723,6.71,0.8747,0.8775,0.8657,0.9868,0.9749
1_A,AMD,pruned,0.9304,0.8699,1.00,0.9415,0.9122,0.9494,0.9900,0.9860
200_N,Normal,benchmark,0.7417,0.5894,26.17,0.7415,0.9215,0.6206,0.9944,0.9588
200_N,Normal,proposed,0.8270,0.7051,9.00,0.8486,0.8006,0.8553,0.9775,0.9659
200_N,Normal,pruned,0.8935,0.8075,5.10,0.8933,0.9166,0.8715,0.9916,0.9802
20_A,AMD,benchmark,0.8348,0.7165,9.00,0.8402,0.9509,0.7440,0.9963,0.9744
20_A,AMD,proposed,0.8667,0.7647,5.66,0.8879,0.8389,0.8964,0.9836,0.9760
20_A,AMD,pruned,0.9258,0.8618,1.00,0.9359,0.9156,0.9362,0.9918,0.9870
21_A,AMD,benchmark,0.5652,0.3939,59.54,0.5804,0.9766,0.3977,0.9993,0.9573
21_A,AMD,proposed,0.7297,0.5744,36.14,0.7136,0.8778,0.6243,0.9935,0.9677
21_A,AMD,pruned,0.9029,0.8229,2.83,0.9140,0.9391,0.8694,0.9958,0.9869
22_A,AMD,benchmark,0.8327,0.7133,10.44,0.8346,0.9491,0.7417,0.9964,0.9753
22_A,AMD,proposed,0.8731,0.7747,4.00,0.8927,0.8570,0.8898,0.9866,0.9786
22_A,AMD,pruned,0.9395,0.8858,1.00,0.9593,0.9204,0.9593,0.9925,0.9898
23_A,AMD,benchmark,0.6445,0.4755,10.87,0.6388,0.7346,0.5741,0.9813,0.9475
23_A,AMD,proposed,0.6944,0.5319,5.00,0.7061,0.6804,0.7090,0.9699,0.9483
23_A,AMD,pruned,0.7060,0.5456,2.24,0.7033,0.6885,0.7244,0.9704,0.9500
24_A,AMD,benchmark,0.3451,0.2085,83.50,0.4235,0.9926,0.2089,0.9999,0.9553
24_A,AMD,proposed,0.6252,0.4548,51.86,0.6414,0.9142,0.4750,0.9973,0.9679
24_A,AMD,pruned,0.8910,0.8034,1.41,0.9300,0.8844,0.8977,0.9930,0.9876
25_A,AMD,benchmark,0.7607,0.6138,18.97,0.7791,0.9560,0.6317,0.9979,0.9730
25_A,AMD,proposed,0.8397,0.7237,10.03,0.8515,0.8439,0.8355,0.9887,0.9783
25_A,AMD,pruned,0.9258,0.8618,1.00,0.9298,0.9274,0.9242,0.9947,0.9899
26_A,AMD,benchmark,0.8521,0.7423,14.14,0.8275,0.9608,0.7655,0.9971,0.9773
26_A,AMD,proposed,0.8815,0.7881,6.00,0.8853,0.8676,0.8959,0.9872,0.9794
26_A,AMD,pruned,0.9333,0.8750,1.00,0.9519,0.9056,0.9628,0.9906,0.9883
27_A,AMD,benchmark,0.1526,0.0826,144.06,0.1504,0.9956,0.0826,1.0000,0.9621
27_A,AMD,proposed,0.3607,0.2200,108.46,0.3244,0.9787,0.2211,0.9998,0.9676
27_A,AMD,pruned,0.8335,0.7145,19.00,0.8165,0.9447,0.7457,0.9981,0.9877
28_A,AMD,benchmark,0.6714,0.5053,31.06,0.6822,0.9868,0.5087,0.9995,0.9631
28_A,AMD,proposed,0.8027,0.6705,19.31,0.7958,0.8895,0.7314,0.9927,0.9734
28_A,AMD,pruned,0.9274,0.8646,1.00,0.9463,0.9257,0.9291,0.9940,0.9892
29_A,AMD,benchmark,0.6724,0.5065,27.59,0.6608,0.9907,0.5089,0.9996,0.9640
29_A,AMD,proposed,0.8295,0.7086,12.17,0.8123,0.9031,0.7670,0.9935,0.9771
29_A,AMD,pruned,0.9151,0.8436,2.00,0.9043,0.9279,0.9027,0.9945,0.9878
2_A,AMD,benchmark,0.7679,0.6233,19.00,0.7557,0.9434,0.6475,0.9960,0.9632
2_A,AMD,proposed,0.8375,0.7205,13.60,0.8394,0.8593,0.8168,0.9861,0.9702
2_A,AMD,pruned,0.8972,0.8135,7.62,0.9044,0.9179,0.8773,0.9919,0.9811
30_A,AMD,benchmark,0.7758,0.6337,31.58,0.7469,0.9795,0.6422,0.9990,0.9742
30_A,AMD,proposed,0.8351,0.7169,18.25,0.8114,0.8897,0.7868,0.9927,0.9784
30_A,AMD,pruned,0.9157,0.8446,2.00,0.9154,0.9221,0.9095,0.9943,0.9884
31_A,AMD,benchmark,0.8325,0.7131,14.21,0.8014,0.9753,0.7262,0.9982,0.9745
31_A,AMD,proposed,0.8823,0.7894,7.00,0.8792,0.8717,0.8932,0.9874,0.9792
31_A,AMD,pruned,0.9395,0.8859,1.00,0.9410,0.9255,0.9540,0.9926,0.9893
32_A,AMD,benchmark,0.8216,0.6972,13.93,0.8218,0.9725,0.7113,0.9981,0.9739
32_A,AMD,proposed,0.8725,0.7739,4.00,0.8949,0.8750,0.8700,0.9885,0.9785
32_A,AMD,pruned,0.9396,0.8861,1.00,0.9580,0.9267,0.9530,0.9930,0.9897
33_A,AMD,benchmark,0.8481,0.7363,7.21,0.8392,0.9129,0.7920,0.9912,0.9703
33_A,AMD,proposed,0.8466,0.7340,3.16,0.8816,0.7980,0.9016,0.9733,0.9658
33_A,AMD,pruned,0.9130,0.8399,1.00,0.9394,0.8769,0.9522,0.9844,0.9810
34_A,AMD,benchmark,0.6514,0.4831,24.99,0.7202,0.9855,0.4865,0.9994,0.9622
34_A,AMD,proposed,0.8025,0.6702,14.04,0.8068,0.9144,0.7150,0.9948,0.9744
34_A,AMD,pruned,0.9199,0.8518,1.00,0.9445,0.9070,0.9332,0.9925,0.9882
35_A,AMD,benchmark,0.8795,0.7848,7.21,0.8743,0.9494,0.8191,0.9958,0.9802
35_A,AMD,proposed,0.8929,0.8065,1.41,0.9117,0.8597,0.9287,0.9854,0.9804
35_A,AMD,pruned,0.9461,0.8978,1.00,0.9493,0.9359,0.9566,0.9937,0.9904
36_A,AMD,benchmark,0.8361,0.7183,12.65,0.8299,0.9700,0.7346,0.9979,0.9753
36_A,AMD,proposed,0.8892,0.8006,4.47,0.8940,0.8903,0.8882,0.9897,0.9810
36_A,AMD,pruned,0.9384,0.8839,1.00,0.9452,0.9288,0.9481,0.9932,0.9893
37_A,AMD,benchmark,0.3280,0.1962,183.97,0.3398,0.9636,0.1976,0.9997,0.9706
37_A,AMD,proposed,0.5023,0.3354,102.07,0.5058,0.8662,0.3537,0.9979,0.9746
37_A,AMD,pruned,0.7983,0.6643,26.93,0.7995,0.8216,0.7763,0.9937,0.9858
38_A,AMD,benchmark,0.5959,0.4244,37.28,0.6175,0.9889,0.4264,0.9997,0.9621
38_A,AMD,proposed,0.7598,0.6127,22.00,0.7622,0.9102,0.6521,0.9955,0.9730
38_A,AMD,pruned,0.9079,0.8313,1.00,0.9293,0.9166,0.8993,0.9943,0.9880
39_A,AMD,benchmark,0.7306,0.5755,30.87,0.7379,0.9657,0.5875,0.9984,0.9696
39_A,AMD,proposed,0.8104,0.6813,12.11,0.8201,0.8520,0.7727,0.9899,0.9747
39_A,AMD,pruned,0.9229,0.8568,1.00,0.9435,0.9110,0.9351,0.9931,0.9890
3_A,AMD,benchmark,0.8401,0.7244,10.20,0.8140,0.9361,0.7621,0.9935,0.9680
3_A,AMD,proposed,0.8656,0.7630,3.16,0.8913,0.8154,0.9224,0.9741,0.9684
3_A,AMD,pruned,0.9242,0.8591,1.00,0.9373,0.8940,0.9565,0.9859,0.9827
40_A,AMD,benchmark,0.7356,0.5817,26.89,0.7472,0.9946,0.5836,0.9998,0.9713
40_A,AMD,proposed,0.8491,0.7377,11.18,0.8559,0.9155,0.7916,0.9946,0.9808
40_A,AMD,pruned,0.9370,0.8814,1.00,0.9501,0.9457,0.9285,0.9961,0.9915
41_A,AMD,benchmark,0.6917,0.5286,32.76,0.6943,0.9739,0.5362,0.9988,0.9621
41_A,AMD,proposed,0.8000,0.6667,11.00,0.8166,0.8381,0.7653,0.9873,0.9696
41_A,AMD,pruned,0.8831,0.7906,8.60,0.8879,0.9284,0.8420,0.9944,0.9823
42_A,AMD,benchmark,0.6442,0.4751,25.94,0.6441,0.9440,0.4889,0.9977,0.9597
42_A,AMD,proposed,0.7951,0.6598,14.87,0.7912,0.8541,0.7437,0.9898,0.9714
42_A,AMD,pruned,0.8723,0.7735,8.49,0.8813,0.9015,0.8449,0.9926,0.9815
43_A,AMD,benchmark,0.7208,0.5635,25.21,0.7252,0.9563,0.5784,0.9983,0.9729
43_A,AMD,proposed,0.8109,0.6820,19.00,0.8087,0.8174,0.8046,0.9884,0.9773
43_A,AMD,pruned,0.9046,0.8258,2.00,0.9096,0.8976,0.9116,0.9933,0.9883
44_A,AMD,benchmark,0.8034,0.6714,12.00,0.8202,0.9736,0.6839,0.9982,0.9709
44_A,AMD,proposed,0.8554,0.7474,6.08,0.8731,0.8725,0.8390,0.9883,0.9753
44_A,AMD,pruned,0.9306,0.8703,1.00,0.9437,0.9289,0.9324,0.9932,0.9879
45_A,AMD,benchmark,0.7077,0.5476,30.23,0.7050,0.9463,0.5652,0.9979,0.9716
45_A,AMD,proposed,0.8165,0.6899,19.10,0.8060,0.8843,0.7584,0.9936,0.9793
45_A,AMD,pruned,0.9317,0.8721,1.00,0.9487,0.9262,0.9372,0.9952,0.9916
46_A,AMD,benchmark,0.5391,0.3690,47.38,0.5882,0.9944,0.3698,0.9998,0.9572
46_A,AMD,proposed,0.7505,0.6006,37.89,0.7373,0.9283,0.6299,0.9965,0.9716
46_A,AMD,pruned,0.9187,0.8496,1.00,0.9329,0.9258,0.9116,0.9947,0.9891
47_A,AMD,benchmark,0.6100,0.4389,30.53,0.6438,0.9820,0.4424,0.9996,0.9734
47_A,AMD,proposed,0.8112,0.6824,12.73,0.8234,0.8455,0.7796,0.9930,0.9829
47_A,AMD,pruned,0.8864,0.7960,3.00,0.9082,0.8499,0.9262,0.9919,0.9888
48_A,AMD,benchmark,0.8214,0.6970,14.06,0.8235,0.9748,0.7098,0.9983,0.9738
48_A,AMD,proposed,0.8736,0.7756,4.12,0.8954,0.8781,0.8692,0.9888,0.9787
48_A,AMD,pruned,0.9423,0.8909,1.00,0.9604,0.9314,0.9535,0.9935,0.9901
49_A,AMD,benchmark,0.8585,0.7521,7.21,0.8840,0.9554,0.7795,0.9966,0.9782
49_A,AMD,proposed,0.9016,0.8209,1.00,0.9383,0.8843,0.9197,0.9889,0.9830
49_A,AMD,pruned,0.9395,0.8858,1.00,0.9570,0.9245,0.9549,0.9928,0.9896
4_A,AMD,benchmark,0.7402,0.5876,21.10,0.7031,0.9737,0.5971,0.9986,0.9668
4_A,AMD,proposed,0.8418,0.7269,13.04,0.8046,0.8974,0.7927,0.9922,0.9764
4_A,AMD,pruned,0.9116,0.8376,4.24,0.8816,0.9362,0.8883,0.9948,0.9863
50_A,AMD,benchmark,0.8120,0.6834,14.87,0.8199,0.9842,0.6910,0.9991,0.9762
50_A,AMD,proposed,0.8750,0.7777,6.32,0.8928,0.8735,0.8764,0.9898,0.9814
50_A,AMD,pruned,0.9458,0.8971,1.00,0.9507,0.9484,0.9432,0.9959,0.9920
51_D,Diabetic Retinopathy,benchmark,0.0063,0.0032,190.57,0.0175,1.0000,0.0032,1.0000,0.9809
51_D,Diabetic Retinopathy,proposed,0.2137,0.1196,124.40,0.2452,0.9649,0.1201,0.9999,0.9830
51_D,Diabetic Retinopathy,pruned,0.7955,0.6605,14.14,0.8057,0.9063,0.7089,0.9986,0.9930
52_D,Diabetic Retinopathy,benchmark,0.5362,0.3663,93.51,0.5141,0.9959,0.3668,0.9999,0.9726
52_D,Diabetic Retinopathy,proposed,0.7532,0.6041,35.00,0.7222,0.9339,0.6310,0.9980,0.9821
52_D,Diabetic Retinopathy,pruned,0.9010,0.8198,1.00,0.9310,0.9353,0.8691,0.9973,0.9917
53_D,Diabetic Retinopathy,benchmark,0.4615,0.3000,64.35,0.4734,0.9896,0.3009,0.9998,0.9566
53_D,Diabetic Retinopathy,proposed,0.7306,0.5755,50.33,0.6692,0.9643,0.5881,0.9986,0.9732
53_D,Diabetic Retinopathy,pruned,0.8806,0.7867,19.10,0.8742,0.9364,0.8312,0.9963,0.9861
54_D,Diabetic Retinopathy,benchmark,0.8764,0.7801,8.94,0.8638,0.9550,0.8099,0.9965,0.9806
54_D,Diabetic Retinopathy,proposed,0.8870,0.7969,3.16,0.9023,0.8620,0.9135,0.9864,0.9803
54_D,Diabetic Retinopathy,pruned,0.9413,0.8891,1.00,0.9541,0.9247,0.9585,0.9928,0.9899
55_D,Diabetic Retinopathy,benchmark,0.5867,0.4151,35.75,0.6771,0.9946,0.4161,0.9999,0.9802
55_D,Diabetic Retinopathy,proposed,0.7869,0.6487,19.21,0.8042,0.9558,0.6687,0.9989,0.9877
55_D,Diabetic Retinopathy,pruned,0.9033,0.8237,5.02,0.9178,0.9388,0.8704,0.9980,0.9937
56_D,Diabetic Retinopathy,benchmark,0.4889,0.3236,46.39,0.5512,0.9947,0.3241,0.9998,0.9429
56_D,Diabetic Retinopathy,proposed,0.7533,0.6042,24.17,0.7523,0.9525,0.6230,0.9971,0.9656
56_D,Diabetic Retinopathy,pruned,0.9294,0.8682,1.00,0.9479,0.9446,0.9147,0.9951,0.9883
57_D,Diabetic Retinopathy,benchmark,0.2304,0.1302,144.53,0.2853,0.5356,0.1467,0.9970,0.9776
57_D,Diabetic Retinopathy,proposed,0.3896,0.2419,98.48,0.4473,0.4454,0.3462,0.9899,0.9752
57_D,Diabetic Retinopathy,pruned,0.7068,0.5465,88.40,0.7094,0.6600,0.7607,0.9908,0.9856
58_D,Diabetic Retinopathy,benchmark,0.6768,0.5115,34.00,0.6680,0.9740,0.5186,0.9989,0.9621
58_D,Diabetic Retinopathy,proposed,0.8272,0.7053,16.63,0.8176,0.9178,0.7528,0.9944,0.9759
58_D,Diabetic Retinopathy,pruned,0.9275,0.8647,1.00,0.9403,0.9514,0.9047,0.9962,0.9892
59_D,Diabetic Retinopathy,benchmark,0.5449,0.3745,30.27,0.5546,0.9983,0.3747,0.9999,0.9454
59_D,Diabetic Retinopathy,proposed,0.7633,0.6172,20.00,0.7343,0.9378,0.6436,0.9959,0.9652
59_D,Diabetic Retinopathy,pruned,0.9115,0.8375,1.41,0.9146,0.9242,0.8992,0.9930,0.9848
5_A,AMD,benchmark,0.8407,0.7252,10.77,0.8144,0.9516,0.7529,0.9956,0.9706
5_A,AMD,proposed,0.8791,0.7843,4.24,0.8823,0.8602,0.8989,0.9832,0.9746
5_A,AMD,pruned,0.9303,0.8697,1.00,0.9189,0.9236,0.9371,0.9911,0.9856
60_D,Diabetic Retinopathy,benchmark,0.6044,0.4330,37.70,0.6148,0.9779,0.4373,0.9992,0.9556
60_D,Diabetic Retinopathy,proposed,0.7973,0.6630,29.15,0.7633,0.9123,0.7081,0.9943,0.9721
60_D,Diabetic Retinopathy,pruned,0.9269,0.8638,1.00,0.9312,0.9300,0.9239,0.9942,0.9887
61_D,Diabetic Retinopathy,benchmark,0.3583,0.2182,85.18,0.3255,0.9873,0.2188,0.9999,0.9660
61_D,Diabetic Retinopathy,proposed,0.5726,0.4011,55.90,0.4828,0.9223,0.4152,0.9984,0.9731
61_D,Diabetic Retinopathy,pruned,0.7867,0.6484,23.36,0.7431,0.8861,0.7073,0.9959,0.9834
62_D,Diabetic Retinopathy,benchmark,0.0455,0.0233,190.79,0.0512,1.0000,0.0233,1.0000,0.9410
62_D,Diabetic Retinopathy,proposed,0.1689,0.0923,203.83,0.2007,0.9520,0.0927,0.9997,0.9449
62_D,Diabetic Retinopathy,pruned,0.7211,0.5639,15.00,0.7486,0.8960,0.6034,0.9955,0.9718
63_D,Diabetic Retinopathy,benchmark,0.3837,0.2374,70.34,0.4261,0.9754,0.2388,0.9995,0.9421
63_D,Diabetic Retinopathy,proposed,0.6066,0.4353,35.17,0.6173,0.8905,0.4599,0.9954,0.9550
63_D,Diabetic Retinopathy,pruned,0.8509,0.7405,11.31,0.8498,0.8761,0.8272,0.9905,0.9781
64_D,Diabetic Retinopathy,benchmark,0.5919,0.4204,44.28,0.6073,0.9670,0.4265,0.9988,0.9562
64_D,Diabetic Retinopathy,proposed,0.7920,0.6556,18.96,0.7841,0.8961,0.7096,0.9934,0.9722
64_D,Diabetic Retinopathy,pruned,0.9153,0.8438,1.41,0.9184,0.9226,0.9081,0.9939,0.9875
65_D,Diabetic Retinopathy,benchmark,0.5298,0.3603,59.23,0.5708,1.0000,0.3603,1.0000,0.9503
65_D,Diabetic Retinopathy,proposed,0.7652,0.6197,31.62,0.7538,0.9643,0.6342,0.9980,0.9697
65_D,Diabetic Retinopathy,pruned,0.9178,0.8481,2.00,0.9358,0.9414,0.8954,0.9953,0.9875
66_D,Diabetic Retinopathy,benchmark,0.1957,0.1085,82.53,0.2693,1.0000,0.1085,1.0000,0.9427
66_D,Diabetic Retinopathy,proposed,0.4719,0.3088,53.73,0.4681,0.9920,0.3096,0.9998,0.9555
66_D,Diabetic Retinopathy,pruned,0.8766,0.7803,7.81,0.8913,0.9444,0.8178,0.9967,0.9852
67_D,Diabetic Retinopathy,benchmark,0.5977,0.4262,41.00,0.6032,0.8921,0.4494,0.9965,0.9630
67_D,Diabetic Retinopathy,proposed,0.7192,0.5615,23.61,0.7452,0.7486,0.6919,0.9849,0.9670
67_D,Diabetic Retinopathy,pruned,0.8453,0.7320,8.49,0.8598,0.8734,0.8189,0.9923,0.9817
68_D,Diabetic Retinopathy,benchmark,0.6500,0.4815,38.33,0.6401,0.9809,0.4861,0.9992,0.9581
68_D,Diabetic Retinopathy,proposed,0.7800,0.6394,20.00,0.7991,0.8804,0.7002,0.9917,0.9684
68_D,Diabetic Retinopathy,pruned,0.8737,0.7757,3.16,0.9204,0.9057,0.8439,0.9924,0.9805
69_D,Diabetic Retinopathy,benchmark,0.8060,0.6750,15.62,0.8060,0.9812,0.6838,0.9987,0.9710
69_D,Diabetic Retinopathy,proposed,0.8840,0.7922,7.00,0.8938,0.8901,0.8780,0.9895,0.9797
69_D,Diabetic Retinopathy,pruned,0.9424,0.8912,1.00,0.9519,0.9517,0.9334,0.9954,0.9900
6_A,AMD,benchmark,0.8385,0.7219,14.01,0.7955,0.9660,0.7407,0.9977,0.9771
6_A,AMD,proposed,0.8746,0.7771,8.06,0.8582,0.8703,0.8789,0.9886,0.9797
6_A,AMD,pruned,0.9238,0.8583,2.24,0.8995,0.9338,0.9139,0.9943,0.9879
70_D,Diabetic Retinopathy,benchmark,0.7573,0.6094,28.30,0.7635,0.9929,0.6120,0.9996,0.9697
70_D,Diabetic Retinopathy,proposed,0.8628,0.7587,13.89,0.8577,0.9125,0.8183,0.9934,0.9799
70_D,Diabetic Retinopathy,pruned,0.9455,0.8967,1.00,0.9602,0.9446,0.9465,0.9954,0.9916
71_D,Diabetic Retinopathy,benchmark,0.5443,0.3739,41.48,0.5635,0.9329,0.3843,0.9988,0.9736
71_D,Diabetic Retinopathy,proposed,0.7306,0.5755,33.11,0.7201,0.8668,0.6314,0.9959,0.9809
71_D,Diabetic Retinopathy,pruned,0.8462,0.7335,9.22,0.8694,0.8857,0.8101,0.9955,0.9879
72_D,Diabetic Retinopathy,benchmark,0.6936,0.5309,24.17,0.6785,0.9926,0.5330,0.9997,0.9650
72_D,Diabetic Retinopathy,proposed,0.8530,0.7437,14.32,0.8112,0.9319,0.7864,0.9954,0.9799
72_D,Diabetic Retinopathy,pruned,0.9262,0.8626,1.41,0.9097,0.9574,0.8970,0.9968,0.9894
73_D,Diabetic Retinopathy,benchmark,0.7371,0.5836,21.94,0.7535,0.9378,0.6071,0.9968,0.9679
73_D,Diabetic Retinopathy,proposed,0.8151,0.6880,7.00,0.8785,0.8380,0.7935,0.9877,0.9733
73_D,Diabetic Retinopathy,pruned,0.8431,0.7288,1.00,0.9229,0.8347,0.8518,0.9865,0.9765
74_D,Diabetic Retinopathy,benchmark,0.7422,0.5901,18.68,0.7602,0.9318,0.6167,0.9962,0.9666
74_D,Diabetic Retinopathy,proposed,0.8159,0.6890,7.21,0.8617,0.8420,0.7914,0.9874,0.9721
74_D,Diabetic Retinopathy,pruned,0.8416,0.7264,1.00,0.9114,0.8329,0.8504,0.9855,0.9750
75_D,Diabetic Retinopathy,benchmark,0.7680,0.6234,11.18,0.7902,0.8946,0.6728,0.9931,0.9676
75_D,Diabetic Retinopathy,proposed,0.8103,0.6810,7.00,0.8583,0.8213,0.7995,0.9850,0.9702
75_D,Diabetic Retinopathy,pruned,0.8344,0.7159,1.00,0.8960,0.8383,0.8306,0.9861,0.9738
76_D,Diabetic Retinopathy,benchmark,0.5048,0.3376,40.23,0.5509,0.9838,0.3395,0.9998,0.9746
76_D,Diabetic Retinopathy,proposed,0.6313,0.4612,39.07,0.6349,0.8823,0.4915,0.9974,0.9781
